post_id,post_title,post_description,department_id,department_name,label
1,test,test,12,तहसील पिथौरागढ़,0
2,test complain,test,12,तहसील पिथौरागढ़,0
3,test complain 1,test complain 1,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
4,सोलर लाइट एवं सुरक्षात्मक कार्य,सोलर लाइट एवं सुरक्षात्मक कार्य,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़ ,2
4,सोलर लाइट एवं सुरक्षात्मक कार्य,सोलर लाइट एवं सुरक्षात्मक कार्य,224,वरिष्ठ परियोजना अधिकारी उरेड़ा,3
5,सोलर लाईट की सुविधा दिलाये जाने के सम्बन्ध में।,सोलर लाईट की सुविधा दिलाये जाने के सम्बन्ध में।,224,वरिष्ठ परियोजना अधिकारी उरेड़ा,3
6,Mr. Harinandan joshi Retd. radio operator police sanchar pithoragarh,अर्जित अवकाश में किये गये शासकीस/राजकीय कार्याें का भुगतान ब्याज सहित करवाये जाने के सम्बन्ध में।,2,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4
7,gram pradhan kanadhaar block kanalichhina,motor road related,95,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5
8,Mr neeraj sigh shah,motor road work related,90,अधीक्षण अभियंता पी०एम-जी०एस०वाइ० वृत्त लो0नि0वि0 पिथौरागढ़,6
9,Mr neeraj sigh shah,motor road work related,90,अधीक्षण अभियंता पी०एम-जी०एस०वाइ० वृत्त लो0नि0वि0 पिथौरागढ़,6
10,Smt. Kamla devi w/o Mr madhawanand joshi vill nwali kanalichhina,Toilet construction under Swachh Bharat Mission,203,परियोजना प्रवन्धक  स्वजल पिथौरागढ़,7
11,Rajan lal verma,"Regarding school, drinking water and solution to various problems.",220,खण्ड शिक्षाशिकारी विण,8
12,Smt. Bhwna devi vill Ganura Block gangolihat,Regarding road construction from Madkanali to Gantola,95,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5
13,Smt. Hansi Devi vill post office line Gangolihat,Regarding construction of walkway to the residence,119,नगर पालिका परिषद गंगोलीहाट ,9
14,Smt. Saraswati Devi vill sunyura tehsil gangolihat,Regarding medical examination of the applicant's ear and finding out the solution to poverty.,134,जिला समाज कल्याण अधिकारी पिथौरागढ़,10
14,Smt. Saraswati Devi vill sunyura tehsil gangolihat,Regarding medical examination of the applicant's ear and finding out the solution to poverty.,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
15,Mr. Umesh Chandra Pant vill devtung gangolihat,Regarding providing residential house.,101,खण्ड विकास अधिकारी गंगोलीहाट,12
16,Mr. Anand Singh Bisht vill Post office line Gangolihat,Regarding construction of road till Shaheed Pawan Singh Sugra College Gangolihat.,3,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13
17,कल्याण सिंह धानिक,अव्यवारिक भवन कर निर्धारण के भुगतान विषयक,119,नगर पालिका परिषद गंगोलीहाट ,9
18,देबुली देवी निवासी ग्राम नाली गंगोलीहाट,गौशाला दिलाये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
19,रूपा देवी निवासी ग्राम कोठेरा गंगोलीहाट,गौशाला दिलाये जाने के सम्बन्ध में,101,खण्ड विकास अधिकारी गंगोलीहाट,12
20,शोभा निवासी कोठेरा गंगोलीहाट,आवास दिलाये जाने के सम्बन्ध में,101,खण्ड विकास अधिकारी गंगोलीहाट,12
21,बसंती देवी निवासी ग्राम व पो गनोरा गंगोलीहाट,आवास दिलाये जाने के सम्बन्ध में,101,खण्ड विकास अधिकारी गंगोलीहाट,12
22,समस्त ग्रामवासी उप्राडा एवं सुर्खाल गंगोलीहाट,उप्राडा एवं सुर्खाल में खाद्यान्न वितरण बाबत,194,जिला पूर्ति अधिकारी  पिथौरागढ़,14
23,प्रमोद कुमार निवासी ग्राम कोठेरा गंगोलीहाट,प्रधानमंत्री आवास योजनान्तर्गत आवास आवंटित किये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
24,शंकर सिंह बोरा निवासी बलिगांव गंगोलीहाट,"पैनापनी, भाटारी, बलिगांव, सुतार गाँव , रांकर आदि गावो में सड़क निर्माण बाबत",94,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15
25,लक्ष्मी देवी निवासी ग्राम कोठेरा गंगोलीहाट,आवास दिलाये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
26,लक्ष्मी देवी निवासी कोठेरा गंगोलीहाट,आवास दिलाये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
27,आनंद सिंह बिष्ट निवासी पोस्ट ऑफिस लाइन गंगोलीहाट,सामुदायिक स्वास्थ केंद्र गंगोलीहाट में रेडियो लोजिस्ट तैनात किये जाने बाबत,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
28,सुनीता देवी निवासी पातर वाडा गंगोलीहाट,स्वास्थ्य कार्ड और मेडिकल प्रमाण पत्र बनवाए जाने बाबत,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
29,सुनीता देवी निवासी पातर वाडा गंगोलीहाट,स्वास्थ्य कार्ड और मेडिकल प्रमाण पत्र बनवाए जाने बाबत,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
30,ललिता देवी निवासी ग्राम गुना किटाण गंगोलीहाट,भू कटाव रोकने हेतु सुरक्षा दिवार का निर्माण करवाए जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
31,नरेश सिंह बिष्ट निवासी ग्राम कोठेरा गंगोलीहाट,विकलांग प्रमाण पत्र बनाये जाने बाबत,134,जिला समाज कल्याण अधिकारी पिथौरागढ़,10
32,कोमल भंडारी निवासी ग्राम जाखनी उप्रेती गंगोलीहाट,विकलांग प्रमाण पत्र बनाये जाने बाबत,134,जिला समाज कल्याण अधिकारी पिथौरागढ़,10
33,कु० ख़ुशी पुत्री पूरन सिंह निवासी जाखनी उप्रेती गंगोलीहाट,विकलांग प्रमाण पत्र बनाये जाने के सम्बन्ध में,134,जिला समाज कल्याण अधिकारी पिथौरागढ़,10
34,हर गोविन्द निवासी ग्राम गुना कि टा ण गंगोलीहाट,अटल आवास योजना का लाभ दिलाये जाने बाबत,134,जिला समाज कल्याण अधिकारी पिथौरागढ़,10
35,किशन सिंह बोरा निवासी ग्राम हनेरा गंगोलीहाट,विकलांग प्रमाण पत्र बनवाए जाने बाबत,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
36,मोहित महरा निवासी ग्राम जीवल गंगोलीहाट,दिब्यांग प्रमाण पत्र बनवाए जाने बाबत,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
37,प्रेम नाथ निवासी ग्राम सुगाल पोस्ट ऑफिस खुलेत गंगोलीहाट,लघु सिंचाई विभाग से कार्य का भुगतान कराये जाने बाबत,204,अधिशासी अभिंयंता लघुसिंचाई खंड पिथौरागढ़,16
38,मोहित महरा निवासी ग्राम चिट्गल गंगोलीहाट,विकलांग प्रमाण पत्र निर्गत किये जाने बाबत,134,जिला समाज कल्याण अधिकारी पिथौरागढ़,10
38,मोहित महरा निवासी ग्राम चिट्गल गंगोलीहाट,विकलांग प्रमाण पत्र निर्गत किये जाने बाबत,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
39,षष्टि बल्लभ पन्त निवासी ग्राम पाली गंगोलीहाट,हनुमान मंदिर में चाहर दीवारी व सौन्दर्यीकरण बाबत,200,जिला पर्यटन विकास अधिकारी,17
40,निशांत भट्ट निवासी ग्राम भंडारी गाँव गंगोलीहाट,बाघ के आतंक से निजात हेतु पिंजरा लगाये जाने बाबत,3,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13
41,होशियार सिंह निवासी ग्राम सलाण गंगोलीहाट,सिंचाई गूल का निर्माण करवाए जाने बाबत,204,अधिशासी अभिंयंता लघुसिंचाई खंड पिथौरागढ़,16
41,होशियार सिंह निवासी ग्राम सलाण गंगोलीहाट,सिंचाई गूल का निर्माण करवाए जाने बाबत,205,अधीक्षण अभियन्ता लघु सिचाई पिथौरागढ़,18
42,विरेन्द्र राम निवासी ग्राम दशाई थल गंगोलीहाट,आवास आवंटन सूची में नाम दर्ज करने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
43,डिकर सिंह निवासी ग्राम बोडी गंगोलीहाट,क्षतिग्रस्त विद्युत लाइन कि मरम्मत करवाए जाने बाबत,223,अधि0 अभि0 विद्युत वितरण खण्ड पिथौरागढ़,19
44,दीपा देवी निवासी भण्डारी गाँव गंगोलीहाट,प्रधानमंत्री आवास योजना लाभार्थी सूची में नाम दर्ज किये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
45,बबलू पांडे निवासी हाट गंगोलीहाट,परिवार रजिस्टर में जन्मतिथि सुधारीकरण बाबत,178,जिला पंचायत राज अधिकारी  पिथौरागढ़,20
45,बबलू पांडे निवासी हाट गंगोलीहाट,परिवार रजिस्टर में जन्मतिथि सुधारीकरण बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
46,शेर,गंगोलीहाट,184,उप जिलाधिकारी गंगोलीहाट,22
47,गोविंदी देवी निवासी ग्राम चमखेत गंगोलीहाट,मुख्यमंत्री राहत कोष से आर्थिक सहायता प्रदान किये जाने बाबत,184,उप जिलाधिकारी गंगोलीहाट,22
48,केदार राम प्रधानाध्यापक रा०प्रा० वि० भाटगाडा गंगोलीहाट,रा०प्रा० वि० भाटगाडा गंगोलीहाट में पानी एवं चाहर दीवारी के समबन्ध में,249,खण्ड शिक्षाधिकारी गंगोलीहाट,23
49,रतन सिंह निवासी ग्राम सुखाल एवं एन्य ग्रामवासी देवतुग व तल्लीगई गंगोलीहाट,जल जीवन मिशन अंतर्गत पेयजल सुविधा उपलब्ध कराये जाने बाबत,232,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24
50,ललिता देवी निवासी गुना किताण गंगोलीहाट,पानी की टंकी स्वीकृत करवाए जाने बाबत,232,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24
